billingNo,billingDate,apiKey,productCode,secProductCode,modelCode,originalCostPrice,discountRate,costPrice,costUnit,usageCount,usageExempt,usageUnit,apiUsage,settlementAmount,paidAmount,giftDeductAmount,unpaidAmount,billingStatus,tokenType,deductUsage,packageId,packageName,cashAmount,thirdParty,discountType,paymentType,computedCost
DAY-856b4360f0698e3e2cb22c108117a31f-GSJFCYV8LUICCQE3,2026-04-17,e76c...6965,inference,std,glm-4.7,0.0022,1,0.0022,kToken,8402,0,token,133,0,0,0,0,Paid,OUTPUT,8402,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.018484399999999998
DAY-1af93d4c83b6ab7cd263175d746df69d-M0MB3V4YVWF6HC5V,2026-04-17,e76c...6965,inference,std,glm-4.7,0.0006,1,0.0006,kToken,100919,0,token,133,0,0,0,0,Paid,INPUT,100919,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.06055139999999999
DAY-3839442dc4397380338252ff30b73f29-O6K6O2SJ5Y9EI4LB,2026-04-17,9ed9...a954,inference,std,glm-4.7,0.0006,1,0.0006,kToken,295956,0,token,249,0,0,0,0,Paid,INPUT,295956,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.1775736
DAY-f3e48237bd55c8e750920df5cfd8a864-X5NGRE2TK2T5WV2Z,2026-04-17,e76c...6965,inference,std,glm-4.7,0.00011,1,0.00011,kToken,32563,0,token,97,0,0,0,0,Paid,CACHE,32563,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.0035819300000000005
DAY-5f0599314157b45a3b455baacf879260-41SE695OTXBNX7RZ,2026-04-17,9ed9...a954,inference,std,glm-4.7,0.0022,1,0.0022,kToken,10195,0,token,249,0,0,0,0,Paid,OUTPUT,10195,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.022429
DAY-34665b72fa214d6b88053782752137b9-8Q5H1QTTQ29FI3E7,2026-04-17,9ed9...a954,inference,std,glm-4.7,0.00011,1,0.00011,kToken,116613,0,token,236,0,0,0,0,Paid,CACHE,116613,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.01282743
DAY-0fa05c2a984fd5c6854c9add9d0563c5-E7ULJ0B04552289F,2026-04-16,e76c...6965,inference,std,glm-4.7,0.0022,1,0.0022,kToken,16750,0,token,359,0,0,0,0,Paid,OUTPUT,16750,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.03685
DAY-d6af9ca8acd5aa330e2153c5b1de35a4-Z82NP7FBOSPQHWHT,2026-04-16,e76c...6965,inference,std,glm-4.7,0.0006,1,0.0006,kToken,398973,0,token,359,0,0,0,0,Paid,INPUT,398973,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.23938379999999998
DAY-83e8453897f35538ea17a85c1ea94a2a-OID3VVVGI7S7EXD6,2026-04-16,e76c...6965,inference,std,glm-4.7,0.00011,1,0.00011,kToken,117901,0,token,293,0,0,0,0,Paid,CACHE,117901,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.01296911
DAY-564bb0a5e1d6034c8c446432798a8120-C94QOAH7RVKBHY8O,2026-04-15,e76c...6965,inference,std,glm-4.7,0.0022,1,0.0022,kToken,27215,0,token,385,0,0,0,0,Paid,OUTPUT,27215,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.059873
DAY-f40bdaedf8c3bd70a29e12cf1842c02e-6IZ3YZTMBE86IV4Y,2026-04-15,e76c...6965,inference,std,glm-4.7,0.0006,1,0.0006,kToken,320505,0,token,385,0,0,0,0,Paid,INPUT,320505,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.19230299999999997
DAY-d58a9f795c6115d245ca25349cbb90c5-RO9SJBW07ABN99D9,2026-04-15,e76c...6965,inference,std,glm-4.7,0.00011,1,0.00011,kToken,180212,0,token,380,0,0,0,0,Paid,CACHE,180212,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.01982332
DAY-141d35b59aec2790856c8fac64ddb5d5-TQ7DKFJVXKDTP1R9,2026-04-14,e76c...6965,inference,std,glm-4.7,0.00011,1,0.00011,kToken,97662,0,token,241,0,0,0,0,Paid,CACHE,97662,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.010742820000000002
DAY-f3f6d59c453574262577103364786cc7-O3UMFKQRL5FBERM0,2026-04-14,e76c...6965,inference,std,glm-4.7,0.0022,1,0.0022,kToken,23417,0,token,248,0,0,0,0,Paid,OUTPUT,23417,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.051517400000000005
DAY-b2ce3d8bf91dd924321ffbe17e29697a-S67JRBG9H4C512QR,2026-04-14,e76c...6965,inference,std,glm-4.7,0.0006,1,0.0006,kToken,215933,0,token,248,0,0,0,0,Paid,INPUT,215933,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.12955979999999997
DAY-d29ed7a270b15bdf222a6963145986f4-V8YB10GYYRDN43XS,2026-04-13,e76c...6965,inference,std,glm-4.7,0.0022,1,0.0022,kToken,10759,0,token,218,0,0,0,0,Paid,OUTPUT,10759,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.0236698
DAY-7b09d8f245b6b268748ee3746b02e609-Y26YM4XYFHSRI6O2,2026-04-13,e76c...6965,inference,std,glm-4.7,0.0006,1,0.0006,kToken,141437,0,token,218,0,0,0,0,Paid,INPUT,141437,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.0848622
DAY-e5dcbb48cded66e4a73d870da3b4873b-CFN76AQYK7PHH72J,2026-04-13,e76c...6965,inference,std,glm-4.7,0.00011,1,0.00011,kToken,69660,0,token,209,0,0,0,0,Paid,CACHE,69660,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.0076626
DAY-be9ff2118606a997af4048dddea70402-S9UQPX09H8NJO3C3,2026-04-12,e76c...6965,inference,std,glm-4.7,0.00011,1,0.00011,kToken,49589,0,token,119,0,0,0,0,Paid,CACHE,49589,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.00545479
DAY-ada411978d722ad26057f235e9305d08-85SQH2CYYHMA6URW,2026-04-12,e76c...6965,inference,std,glm-4.7,0.0022,1,0.0022,kToken,5841,0,token,128,0,0,0,0,Paid,OUTPUT,5841,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.0128502
DAY-e63ca016e63d654c034da40616585947-SXT9X8VKSHKWVL8E,2026-04-12,e76c...6965,inference,std,glm-4.7,0.0006,1,0.0006,kToken,94420,0,token,128,0,0,0,0,Paid,INPUT,94420,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.056651999999999994
DAY-05a6f385c70e3bd8ee5df14782a64692-V7F68YK62BHO4CJJ,2026-04-11,e76c...6965,inference,std,glm-4.7,0.0006,1,0.0006,kToken,154083,0,token,196,0,0,0,0,Paid,INPUT,154083,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.09244979999999998
DAY-ee5980e08d01cc9844101fbb379d43c6-Z0DL6C8XNOGSVQPI,2026-04-11,e76c...6965,inference,std,glm-4.7,0.0022,1,0.0022,kToken,8662,0,token,196,0,0,0,0,Paid,OUTPUT,8662,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.019056400000000005
DAY-e64fdccc31ee80d14be61f456e380ec2-R4V5Y2BME7X6R9IF,2026-04-11,e76c...6965,inference,std,glm-4.7,0.00011,1,0.00011,kToken,87257,0,token,188,0,0,0,0,Paid,CACHE,87257,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.00959827
DAY-859d5790ef626fcbd8ffb16d49ab135e-AU7HLI3ROJGUVPC4,2026-04-10,e76c...6965,inference,std,glm-4.7,0.0006,1,0.0006,kToken,279207,0,token,252,0,0,0,0,Paid,INPUT,279207,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.16752419999999998
DAY-11fb5f7acce36d4ff96d0d2f607ae505-S5HJZ551XM3YKR64,2026-04-10,e76c...6965,inference,std,glm-4.7,0.0022,1,0.0022,kToken,9696,0,token,252,0,0,0,0,Paid,OUTPUT,9696,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.0213312
DAY-54984f372236836de6f39a285b94fc7d-OY38WF7EER28NVD5,2026-04-10,e76c...6965,inference,std,glm-4.7,0.00011,1,0.00011,kToken,98075,0,token,249,0,0,0,0,Paid,CACHE,98075,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.010788250000000001
DAY-00f54cbf78cc63e11cc7adee40d919f7-36FWT02X2C2U2966,2026-04-09,e76c...6965,inference,std,glm-4.7,0.0022,1,0.0022,kToken,6544,0,token,161,0,0,0,0,Paid,OUTPUT,6544,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.0143968
DAY-d6366ecb2b09c298e8c43805fdf4fb90-QTJ0WOTL2A56VH9L,2026-04-09,e76c...6965,inference,std,glm-4.7,0.0006,1,0.0006,kToken,125811,0,token,161,0,0,0,0,Paid,INPUT,125811,22420315,GLM Coding Lite V2 - Quarter,0,0,none,Postpaid,0.0754866
