id,source,date,rating,feedback,sentiment,customer_segment,country
1,NPS Response,2025-06-14,1,Need Microsoft Teams support. We can't get leadership buy-in without it. iOS app is a mess. Notifications come through 2 hours late and half the buttons don't work.,Negative,Startup,US
2,App Store Review,2025-11-27,2,Bulk actions are severely limited - can change assignee but not due dates or custom fields. Why?,Negative,Startup,US
3,App Store Review,2025-10-07,2,It's a tool. I use it. It works mostly. That's about all I can say.,Neutral,SMB,US
4,App Store Review,2026-02-26,2,Cant believe there's still no waterfall/gantt view. We need it for construction project scheduling. Please fix.,Negative,Enterprise,Australia
5,Support Ticket,2025-04-24,,"No action needed, just wanted to commend Alex on the support team. Fantastic service.",Positive,SMB,India
6,G2 Review,2025-12-27,5,"Dashboards, automations, integrations - it all just works. Really happy customer.",Positive,Enterprise,India
7,NPS Response,2025-09-28,4,"Worth every penny, but can't build a simple cross-project report without a workaround. this is pm 101",Neutral,SMB,India
8,G2 Review,2025-12-27,5,Customer support has been fantastic. Got a response in 20 minutes and the issue was resolved same day.,Positive,Enterprise,US
9,G2 Review,2025-08-22,2,The 'Business' tier gates the features you actually need. Feels like a bait and switch. android app force closes whenever i try to edit a task. unusable on mobile rn,Negative,SMB,UK
10,Support Ticket,2025-07-18,,"Hi, I cannot log in since the last update. Keeps saying 'session expired' even after password reset. Please help.",Neutral,SMB,US
11,NPS Response,2026-02-23,3,It's a tool. I use it. It works mostly. That's about all I can say.,Neutral,SMB,US
12,G2 Review,2025-08-11,2,The timeline is basically a bar chart. Not a Gantt. Stop calling it one in your marketing.,Negative,Enterprise,UK
13,App Store Review,2025-07-11,3,"Permissions are flexible enough for our enterprise setup, but i waited 22 seconds for my portfolio view to load yesterday. i actually counted. something is deeply wrong.",Neutral,Startup,UK
14,App Store Review,2025-05-21,4,"Dashboards, automations, integrations - it all just works. Really happy customer.",Positive,SMB,Canada
15,Support Ticket,2025-10-27,,Automation rules stopped executing after I edited them yesterday. Rule IDs in attached doc.,Neutral,Startup,US
16,App Store Review,2025-12-18,5,permissions are flexible enough for our enterprise setup. rare for a tool this easy to use.,Positive,Enterprise,US
17,Google Play Review,2026-02-28,5,The API is solid. We've built several internal tools on top of it with no issues.,Positive,Enterprise,US
18,NPS Response,2026-01-10,2,Reporting limitations are killing us. Leadership wants rolled-up views and we can't deliver them.,Negative,Enterprise,US
19,Google Play Review,2025-07-16,5,Dashboards are gorgeous and leadership loves the reports. Rare combo. Highly recommend.,Positive,SMB,US
20,G2 Review,2025-08-29,2,Been using for 6 months. No strong opinion either way. That's my take.,Neutral,SMB,Canada
21,Google Play Review,2025-07-15,5,Great value for small teams. The startup pricing tier is generous.,Positive,Enterprise,UK
22,App Store Review,2025-05-08,1,Loading spinners everywhere. This used to be snappy - what happened?,Negative,Startup,UK
23,G2 Review,2026-01-04,5,Permissions are flexible enough for our enterprise setup. Rare for a tool this easy to use.,Positive,SMB,Canada
24,NPS Response,2026-02-26,1,Honestly the integration marketplace is embarrassing. 12 integrations? Really?,Negative,SMB,Canada
25,App Store Review,2025-05-19,1,honestly the integration marketplace is embarrassing. 12 integrations? really?,Negative,SMB,US
26,Support Ticket,2026-02-18,,Emails from your app going to spam in Office 365. Any DMARC/DKIM advice?,Neutral,Enterprise,US
27,G2 Review,2026-03-23,5,Customer support has been fantastic. Got a response in 20 minutes and the issue was resolved same day.,Positive,Startup,UK
28,App Store Review,2026-04-14,5,Very happy customer.,Positive,SMB,US
29,App Store Review,2026-03-29,2,It's okay. The mobile app is mediocre but the web is fine.,Neutral,SMB,Canada
30,G2 Review,2026-01-25,2,Slack integration is bare bones. Can't even create tasks from a message without a clunky form.,Negative,Enterprise,US
31,G2 Review,2025-04-24,3,Using it.,Neutral,Startup,US
